ColumnaX,ColumnaZ,ColumnaY
1.986,30.361,1080
1.994,30.628,1081
1.990,30.498,1082
1.989,30.454,1083
1.986,30.381,1084
2.002,30.851,1085
1.994,30.612,1086
1.998,30.737,1087
1.998,30.729,1088
2.006,30.998,1089
2.001,30.835,1090
1.990,30.494,1091
1.989,30.466,1092
2.000,30.786,1093
1.996,30.676,1094
1.998,30.733,1095
1.994,30.603,1096
1.996,30.672,1097
1.994,30.607,1098
1.976,30.078,1099
1.984,30.316,1100
2.004,30.933,1101
1.996,30.680,1102
2.000,30.815,1103
2.009,31.067,1104
2.000,30.790,1105
1.992,30.551,1106
1.994,30.607,1107
1.988,30.441,1108
2.000,30.815,1109
1.994,30.616,1110
1.994,30.620,1111
1.997,30.713,1112
1.997,30.713,1113
2.000,30.811,1114
2.005,30.949,1115
1.994,30.616,1116
1.995,30.640,1117
1.996,30.676,1118
1.996,30.676,1119
1.987,30.401,1120
1.985,30.344,1121
1.979,30.171,1122
1.995,30.644,1123
1.979,30.171,1124
1.973,29.978,1125
1.989,30.466,1126
1.982,30.239,1127
1.979,30.147,1128
1.990,30.482,1129
1.984,30.320,1130
1.987,30.397,1131
1.990,30.490,1132
1.990,30.502,1133
1.988,30.429,1134
1.985,30.348,1135
1.984,30.300,1136
1.981,30.211,1137
1.989,30.458,1138
1.992,30.567,1139
1.992,30.547,1140
1.988,30.425,1141
1.986,30.377,1142
1.992,30.543,1143
1.990,30.494,1144
1.988,30.417,1145
1.994,30.628,1146
2.001,30.823,1147
1.993,30.595,1148
1.987,30.389,1149
1.994,30.620,1150
1.998,30.737,1151
1.996,30.685,1152
1.998,30.733,1153
1.988,30.441,1154
1.997,30.713,1155
1.995,30.636,1156
2.004,30.933,1157
1.994,30.628,1158
1.996,30.685,1159
1.997,30.717,1160
1.995,30.632,1161
1.992,30.543,1162
1.990,30.498,1163
1.998,30.737,1164
1.999,30.778,1165
1.982,30.252,1166
1.993,30.599,1167
1.991,30.518,1168
1.989,30.474,1169
1.990,30.482,1170
1.987,30.409,1171
1.984,30.312,1172
1.986,30.373,1173
1.993,30.571,1174
1.985,30.352,1175
1.988,30.425,1176
1.976,30.062,1177
1.979,30.163,1178
1.988,30.441,1179
1.980,30.191,1180
1.991,30.510,1181
1.983,30.288,1182
1.984,30.300,1183
1.981,30.219,1184
1.993,30.599,1185
1.978,30.119,1186
1.988,30.417,1187
1.995,30.636,1188
1.991,30.526,1189
1.997,30.717,1190
1.989,30.474,1191
1.985,30.344,1192
1.989,30.470,1193
1.994,30.612,1194
1.979,30.143,1195
1.988,30.441,1196
1.980,30.179,1197
1.992,30.551,1198
1.976,30.074,1199
1.980,30.179,1200
1.979,30.171,1201
1.992,30.547,1202
1.985,30.336,1203
1.993,30.587,1204
1.989,30.466,1205
1.989,30.474,1206
1.980,30.179,1207
1.982,30.235,1208
1.983,30.264,1209
1.988,30.441,1210
1.980,30.199,1211
1.984,30.300,1212
2.000,30.811,1213
1.987,30.405,1214
1.990,30.498,1215
1.988,30.441,1216
1.985,30.352,1217
1.983,30.292,1218
1.987,30.401,1219
1.990,30.478,1220
1.989,30.449,1221
1.982,30.248,1222
1.984,30.320,1223
1.993,30.579,1224
1.982,30.244,1225
1.979,30.151,1226
1.978,30.127,1227
1.974,30.018,1228
1.977,30.091,1229
1.976,30.050,1230
1.982,30.260,1231
1.984,30.300,1232
1.982,30.239,1233
1.977,30.107,1234
1.973,29.962,1235
1.980,30.187,1236
1.986,30.385,1237
1.982,30.244,1238
1.975,30.022,1239
1.992,30.543,1240
1.985,30.340,1241
1.970,29.886,1242
1.981,30.219,1243
1.972,29.946,1244
1.974,30.010,1245
1.980,30.195,1246
1.977,30.099,1247
1.983,30.272,1248
1.990,30.490,1249
1.981,30.231,1250
1.981,30.211,1251
1.986,30.377,1252
1.979,30.163,1253
1.983,30.264,1254
1.974,29.994,1255
1.978,30.119,1256
1.980,30.183,1257
1.978,30.131,1258
1.982,30.235,1259
1.973,29.962,1260
1.985,30.332,1261
1.975,30.046,1262
1.972,29.946,1263
1.974,30.010,1264
1.982,30.252,1265
1.973,29.978,1266
1.976,30.066,1267
1.972,29.954,1268
